time,F_net,F_net_terrestrial,F_down_terrestrial,F_net_solar,Lat,Lon,TCC,Alt,F_up_solar,F_up_terrestrial,SIC,F_down_solar_sim,airplane,F_down_solar_corr,F_down_solar,F_down_solar_uncorr
2022-03-12 12:03:20,,,,,77.51616,-9.577096,0.0054016113,12579.678,,,91.0,193.57889,HALO,0.0,,
2022-03-13 09:50:00,-124.41659,-142.6339,13.668005,18.217308,77.501564,-9.274163,0.0054016113,11927.271,110.47861,156.30191,92.0,126.844955,HALO,0.0,120.13309,
2022-03-13 09:51:40,-126.24153,-144.98659,13.400041,18.745052,77.53683,-9.530135,0.0054016113,11924.87,107.28105,158.38663,92.125,125.818504,HALO,0.0,119.028694,
2022-03-13 12:10:00,,,,,83.07114,-3.8683553,0.04537964,12491.529,,,99.0,80.56919,HALO,0.0,,
2022-03-13 13:10:00,,,,,85.01102,-4.3556485,0.042938232,12460.391,,,98.0,36.638386,HALO,0.0,,
2022-03-14 11:46:40,,,,,89.252815,-3.1702387,0.0,10867.572,,,100.875,,HALO,0.0,,
2022-03-14 11:48:20,,,,,89.36117,-9.752971,0.0,10866.406,,,101.0,,HALO,0.0,,
2022-03-14 11:51:40,,,,,89.294395,-30.678541,0.0,10854.99,,,101.0,,HALO,0.0,,
2022-03-14 11:53:20,,,,,89.0562,-32.786015,0.0,10847.536,,,100.0,,HALO,0.0,,
2022-03-14 11:55:00,,,,,88.88651,-36.866505,0.0,10840.104,,,100.0,,HALO,0.0,,
2022-03-14 11:56:40,,,,,88.700806,-40.091934,0.0,10831.22,,,100.0,,HALO,0.0,,
2022-03-14 11:58:20,,,,,88.50635,-42.57,0.0,10822.147,,,100.0,,HALO,0.0,,
2022-03-14 12:00:00,,,,,88.316986,-44.41386,0.0,10811.262,,,100.0,,HALO,0.0,,
2022-03-14 12:01:40,,,,,88.12643,-45.875767,0.0,10799.373,,,99.76471,,HALO,0.0,,
2022-03-14 12:03:20,,,,,87.91476,-47.388504,0.0,10789.867,,,100.0,,HALO,0.0,,
2022-03-14 12:05:00,,,,,87.73178,-48.460598,0.0,10782.245,,,100.0,,HALO,0.0,,
2022-03-14 12:06:40,,,,,87.53724,-49.285145,0.0,10773.481,,,99.882355,,HALO,0.0,,
2022-03-14 12:08:20,,,,,87.33258,-50.01482,0.0,10764.575,,,100.0,,HALO,0.0,,
2022-03-14 12:10:00,,,,,87.134384,-50.61886,0.0,10756.803,,,100.0,,HALO,0.0,,
2022-03-14 12:11:40,,,,,86.93612,-51.14019,0.0,10748.211,,,100.0,,HALO,0.0,,
